Time Stamp, PMTDET-INST (mV)
04/13/2023 10:00:01,       18.0
04/13/2023 11:00:01,        5.9
04/13/2023 12:00:01,        2.4
04/13/2023 13:00:01,        7.4
04/13/2023 14:00:01,        8.8
04/13/2023 15:00:01,        4.6
04/13/2023 16:00:01,        2.5
04/13/2023 17:00:01,        7.1
04/13/2023 18:00:01,       14.5
04/13/2023 19:00:01,        8.6
04/13/2023 20:00:01,       10.0
04/13/2023 21:00:01,       15.5
04/13/2023 22:00:01,       20.1
04/13/2023 23:00:01,        4.5
04/14/2023 00:00:01,        7.8
04/14/2023 01:00:01,        6.0
04/14/2023 02:00:01,       27.6
04/14/2023 03:00:01,       21.1
04/14/2023 04:00:01,       26.4
04/14/2023 05:00:01,       25.0
04/14/2023 06:00:01,        9.5
04/14/2023 07:00:01,       27.9
04/14/2023 08:00:01,       25.8
04/14/2023 09:00:01,        4.9
04/14/2023 10:00:01,       10.8
04/14/2023 11:00:01,        4.0
04/14/2023 12:00:01,       16.3
04/14/2023 13:00:01,       13.9
04/14/2023 14:00:01,        5.1
04/14/2023 15:00:01,        3.5
04/14/2023 16:00:01,        7.9
04/14/2023 17:00:01,        6.9
04/14/2023 18:00:01,        9.4
04/14/2023 19:00:01,        5.9
04/14/2023 20:00:01,       14.8
04/14/2023 21:00:01,       16.9
04/14/2023 22:00:01,        7.4
04/14/2023 23:00:01,        6.5
04/15/2023 00:00:01,        6.0
04/15/2023 01:00:01,       13.9
04/15/2023 02:00:01,       10.8
04/15/2023 03:00:01,        8.6
04/15/2023 04:00:01,        7.1
04/15/2023 05:00:01,       13.8
04/15/2023 06:00:01,       13.5
04/15/2023 07:00:01,       12.8
04/15/2023 08:00:01,        5.4
04/15/2023 09:00:01,        4.3
04/15/2023 10:00:01,        6.1
04/15/2023 11:00:01,        6.8
04/15/2023 12:00:01,       10.3
04/15/2023 13:00:01,       12.9
04/15/2023 14:00:01,        5.0
04/15/2023 15:00:01,        4.3
04/15/2023 16:00:01,        8.9
04/15/2023 17:00:01,        6.1
04/15/2023 18:00:01,        5.3
04/15/2023 19:00:01,        7.5
04/15/2023 20:00:01,        2.8
04/15/2023 21:00:01,        4.9
04/15/2023 22:00:02,        5.4
04/15/2023 23:00:01,       20.3
04/16/2023 00:00:01,       10.1
04/16/2023 01:00:01,        7.0
04/16/2023 02:00:01,        3.8
04/16/2023 03:00:01,       10.1
04/16/2023 04:00:01,       15.4
04/16/2023 05:00:01,       13.8
04/16/2023 06:00:01,        9.6
04/16/2023 07:00:01,        9.0
04/16/2023 08:00:01,        8.9
04/16/2023 09:00:02,       14.0
04/16/2023 10:00:01,       11.8
04/16/2023 11:00:01,        7.1
04/16/2023 12:00:01,        4.9
04/16/2023 13:00:01,        3.1
04/16/2023 14:00:01,        6.0
04/16/2023 15:00:01,        8.6
04/16/2023 16:00:01,        7.0
04/16/2023 17:00:01,        7.3
04/16/2023 18:00:01,        7.3
04/16/2023 19:00:01,        3.9
04/16/2023 20:00:01,        5.4
04/16/2023 21:00:01,       10.4
04/16/2023 22:00:01,        8.3
04/16/2023 23:00:01,       12.4
04/17/2023 00:00:01,        5.8
04/17/2023 01:00:01,       15.0
04/17/2023 02:00:01,        5.6
04/17/2023 03:00:01,       12.4
04/17/2023 04:00:01,        6.9
04/17/2023 05:00:01,        6.1
04/17/2023 06:00:01,       11.6
04/17/2023 07:00:01,        7.9
04/17/2023 08:00:01,        8.8
04/17/2023 09:00:01,       11.0
04/17/2023 10:00:01,        6.1
04/17/2023 11:00:01,       10.9
04/17/2023 12:00:01,        8.6
04/17/2023 13:00:01,       10.5
